# Step NumNew Radius InverseSuccessRatio JumpsPerParticle SecPerParticle TotalRunTime
4430 10 1.21398 1 15.8 4.46e-05 0.093562
4440 10 1.21398 1.1 16.6 4.15e-05 0.093977
4450 10 1.21398 1.1 19.5 4.02e-05 0.094379
4460 10 1.21398 1.1 11.8 3.71e-05 0.09475
4470 10 1.21398 1.1 22.1 5.16e-05 0.095266
4480 10 1.21398 1 13.7 2.48e-05 0.095514
4490 10 1.21398 1.1 15 3.65e-05 0.095879
4500 10 1.21738 1 22.2 5.09e-05 0.096388
4510 10 1.21738 1.1 14.6 4.02e-05 0.09679
4520 10 1.21738 1 12.3 1.99e-05 0.096989
4530 10 1.21738 1 10.7 3.47e-05 0.097336
4540 10 1.21738 1.3 15.3 5.84e-05 0.09792
4550 10 1.22056 1.1 18.2 3.81e-05 0.098301
4560 10 1.22056 1.1 16.9 3.43e-05 0.098644
4570 10 1.22056 1.1 13.9 4.06e-05 0.09905
4580 10 1.22847 1.2 17.2 5.61e-05 0.099611
4590 10 1.22847 1.2 19.1 4.71e-05 0.100082
4600 10 1.22847 1.1 12.9 4.01e-05 0.100483
4610 10 1.22847 1.1 16.4 3.87e-05 0.10087
4620 10 1.22847 1.3 21.7 4.62e-05 0.101332
4630 10 1.22847 1 18.3 4.17e-05 0.101749
4640 10 1.22847 1.1 14.3 3.83e-05 0.102132
4650 10 1.22847 1 12 3.05e-05 0.102437
4660 10 1.22847 1 17.4 3.95e-05 0.102832
4670 10 1.22847 1.1 15.8 3.99e-05 0.103231
4680 10 1.22847 1.1 16.1 4.99e-05 0.10373
4690 10 1.23737 1 13.7 3.55e-05 0.104085
4700 10 1.23737 1 14 2.97e-05 0.104382
4710 10 1.23737 1.1 21.9 4.29e-05 0.104811
4720 10 1.23737 1.1 24.1 5.19e-05 0.10533
4730 10 1.23737 1.1 17.8 3.62e-05 0.105692
4740 10 1.24285 1.1 16.9 4.01e-05 0.106093
4750 10 1.24285 1.1 22.6 5.83e-05 0.106676
4760 10 1.24285 1.1 28.5 5.43e-05 0.107219
4770 10 1.24285 1.1 19.7 4.56e-05 0.107675
4780 10 1.24285 1.2 17.8 4.85e-05 0.10816
