# Step NumNew Radius InverseSuccessRatio JumpsPerParticle SecPerParticle TotalRunTime
3280 10 1.00459 1.1 24 2.85e-05 0.046249
3290 10 1.02136 1 18.1 1.58e-05 0.046407
3300 10 1.02136 1.1 14.4 1.79e-05 0.046586
3310 10 1.02136 1 20.7 2.05e-05 0.046791
3320 10 1.03208 1 11.7 1.34e-05 0.046925
3330 10 1.03574 1.1 22.8 2.43e-05 0.047168
3340 10 1.03574 1 16.5 1.95e-05 0.047363
3350 10 1.03574 1 13.4 1.77e-05 0.04754
3360 10 1.03574 1 8.8 1.16e-05 0.047656
3370 10 1.03574 1.2 16.2 3.65e-05 0.048021
3380 10 1.03574 1 13.8 1.62e-05 0.048183
3390 10 1.04151 1.1 13 2.02e-05 0.048385
3400 10 1.04151 1.1 14.5 1.86e-05 0.048571
3410 10 1.04151 1.3 19.3 3.28e-05 0.048899
3420 10 1.04151 1.1 17.2 2.38e-05 0.049137
3430 10 1.04989 1 15.2 1.53e-05 0.04929
3440 10 1.04989 1.3 20 3.18e-05 0.049608
3450 10 1.05909 1 15.7 2.15e-05 0.049823
3460 10 1.05909 1.5 21.6 3.82e-05 0.050205
3470 10 1.05909 1 10.1 1.66e-05 0.050371
3480 10 1.05909 1 16.6 2.01e-05 0.050572
3490 10 1.05909 1.1 16.4 2.71e-05 0.050843
3500 10 1.06257 1.1 16 2.42e-05 0.051085
3510 10 1.07527 1.1 14.3 2.62e-05 0.051347
3520 10 1.07527 1 17.1 2.06e-05 0.051553
3530 10 1.07527 1 13.1 2.6e-05 0.051813
3540 10 1.08453 1.1 22.4 3.26e-05 0.052139
3550 10 1.09378 1.1 16.8 2.49e-05 0.052388
3560 10 1.09378 1.2 22.5 3.62e-05 0.05275
3570 10 1.09378 1.2 15.8 2.76e-05 0.053026
3580 10 1.09378 1 21.5 2.9e-05 0.053316
3590 10 1.1015 1.1 16.1 2.52e-05 0.053568
3600 10 1.1015 1 23 2.2e-05 0.053788
3610 10 1.1015 1.2 20 2.57e-05 0.054045
3620 10 1.1015 1 13.2 1.85e-05 0.05423
3630 10 1.1015 1.2 20.1 3.47e-05 0.054577
3640 10 1.10941 1.1 16.4 2.87e-05 0.054864
3650 10 1.10941 1 20.1 3.03e-05 0.055167
3660 10 1.10941 1 19.9 2.22e-05 0.055389
3670 10 1.10941 1.3 21 3.3e-05 0.055719
3680 10 1.10941 1.1 24.4 3.52e-05 0.056071
3690 10 1.10941 1 15.1 1.94e-05 0.056265
3700 10 1.10941 1 14.2 2.04e-05 0.056469
3710 10 1.10941 1.2 20 2.88e-05 0.056757
3720 10 1.10941 1 23.6 2.5e-05 0.057007
3730 10 1.10941 1 19.9 2.59e-05 0.057266
3740 10 1.11821 1.1 12.8 2.19e-05 0.057485
3750 10 1.11821 1 14.5 2.13e-05 0.057698
3760 10 1.11821 1.2 21 2.73e-05 0.057971
3770 10 1.12785 1 28.1 2.51e-05 0.058222
3780 10 1.12785 1 23.7 2.16e-05 0.058438
3790 10 1.13623 1.2 18.9 3.05e-05 0.058743
3800 10 1.13623 1.1 21 3.23e-05 0.059066
3810 10 1.13623 1.3 22.7 2.99e-05 0.059365
3820 10 1.13623 1.1 21.4 2.39e-05 0.059604
3830 10 1.13687 1 17.6 1.98e-05 0.059802
3840 10 1.13917 1.2 20.3 2.97e-05 0.060099
3850 10 1.13917 1 10.5 1.93e-05 0.060292
3860 10 1.13917 1.1 17.3 2.69e-05 0.060561
3870 10 1.13917 1.1 18.5 3.46e-05 0.060907
3880 10 1.13917 1 21.4 2.08e-05 0.061115
3890 10 1.13917 1 14.9 2.36e-05 0.061351
3900 10 1.13917 1.4 23.5 3.7e-05 0.061721
3910 10 1.14202 1 10.6 1.87e-05 0.061908
3920 10 1.14202 1 14.4 2.1e-05 0.062118
3930 10 1.14202 1.2 17.1 2.89e-05 0.062407
3940 10 1.14202 1.2 24.2 3.12e-05 0.062719
3950 10 1.14202 1 11.7 1.57e-05 0.062876
3960 10 1.14202 1.1 16.8 2.84e-05 0.06316
3970 10 1.14202 1.1 21.4 2.99e-05 0.063459
3980 10 1.14202 1 15.6 2.04e-05 0.063663
3990 10 1.14202 1 15.3 1.94e-05 0.063857
4000 10 1.14512 1.1 22.7 3.14e-05 0.064171
4010 10 1.14512 1.1 13.6 2.16e-05 0.064387
4020 10 1.14512 1.4 21.8 4.01e-05 0.064788
4030 10 1.14512 1.2 18.7 3.4e-05 0.065128
4040 10 1.14512 1 20.4 3.4e-05 0.065468
4050 10 1.14512 1 13.9 1.72e-05 0.06564
4060 10 1.14512 1.1 22.2 3.79e-05 0.066019
4070 10 1.14512 1 11.1 1.72e-05 0.066191
4080 10 1.14512 1.2 17.4 2.52e-05 0.066443
4090 10 1.15007 1.1 21.5 2.69e-05 0.066712
4100 10 1.15007 1.1 19.7 2.97e-05 0.067009
4110 10 1.15007 1.1 16.4 2.45e-05 0.067254
4120 10 1.158 1.2 15.5 4.02e-05 0.067656
4130 10 1.16382 1.3 27.8 4.68e-05 0.068124
4140 10 1.16382 1.5 18.5 5.26e-05 0.06865
4150 10 1.16905 1.2 23.6 3.33e-05 0.068983
4160 10 1.17313 1 17 2.86e-05 0.069269
4170 10 1.17313 1.2 14.2 3.22e-05 0.069591
4180 10 1.17709 1 18.9 2.94e-05 0.069885
4190 10 1.17709 1 16.4 2.03e-05 0.070088
4200 10 1.17709 1.3 19.5 4.32e-05 0.07052
4210 10 1.17709 1 14.2 2.27e-05 0.070747
4220 10 1.17709 1 20.3 2.38e-05 0.070985
4230 10 1.17709 1.3 18.1 3.98e-05 0.071383
4240 10 1.17709 1.1 20.2 4.2e-05 0.071803
4250 10 1.18406 1 17.3 4.16e-05 0.072219
4260 10 1.18406 1.2 19.5 3.05e-05 0.072524
4270 10 1.18406 1.4 21.7 4.66e-05 0.07299
4280 10 1.18406 1.1 12.8 2.48e-05 0.073238
4290 10 1.18822 1.1 23 3.1e-05 0.073548
4300 10 1.18822 1.2 16.2 2.62e-05 0.07381
4310 10 1.18822 1 13.1 1.72e-05 0.073982
4320 10 1.19133 1 14.2 1.78e-05 0.07416
4330 10 1.19133 1.2 14 2.74e-05 0.074434
4340 10 1.19133 1.2 23.8 3.77e-05 0.074811
4350 10 1.19813 1.2 22.3 3.74e-05 0.075185
4360 10 1.19813 1.1 16.7 3.28e-05 0.075513
4370 10 1.19813 1 9.9 1.73e-05 0.075686
4380 10 1.2077 1.3 16.3 3.49e-05 0.076035
4390 10 1.2077 1 22.2 2.71e-05 0.076306
4400 10 1.2077 1.1 21.4 3.84e-05 0.07669
4410 10 1.2077 1 12.8 2.02e-05 0.076892
4420 10 1.2077 1.3 21.4 4.06e-05 0.077298
4430 10 1.21398 1 15.8 2.9e-05 0.077588
4440 10 1.21398 1.1 16.6 3.66e-05 0.077954
4450 10 1.21398 1.1 19.5 3.41e-05 0.078295
4460 10 1.21398 1.1 11.8 2.78e-05 0.078573
4470 10 1.21398 1.1 22.1 3.76e-05 0.078949
4480 10 1.21398 1 13.7 1.72e-05 0.079121
4490 10 1.21398 1.1 15 2.72e-05 0.079393
4500 10 1.21738 1 22.2 3.8e-05 0.079773
4510 10 1.21738 1.1 14.6 2.9e-05 0.080063
4520 10 1.21738 1 12.3 1.5e-05 0.080213
4530 10 1.21738 1 10.7 2.46e-05 0.080459
4540 10 1.21738 1.3 15.3 4.04e-05 0.080863
4550 10 1.22056 1.1 18.2 2.7e-05 0.081133
4560 10 1.22056 1.1 16.9 2.44e-05 0.081377
4570 10 1.22056 1.1 13.9 2.55e-05 0.081632
4580 10 1.22847 1.2 17.2 4.09e-05 0.082041
4590 10 1.22847 1.2 19.1 3.21e-05 0.082362
4600 10 1.22847 1.1 12.9 2.44e-05 0.082606
4610 10 1.22847 1.1 16.4 2.49e-05 0.082855
4620 10 1.22847 1.3 21.7 3.9e-05 0.083245
4630 10 1.22847 1 18.3 3.06e-05 0.083551
4640 10 1.22847 1.1 14.3 2.45e-05 0.083796
4650 10 1.22847 1 12 2.1e-05 0.084006
4660 10 1.22847 1 17.4 2.86e-05 0.084292
4670 10 1.22847 1.1 15.8 2.89e-05 0.084581
4680 10 1.22847 1.1 16.1 3.66e-05 0.084947
4690 10 1.23737 1 13.7 2.55e-05 0.085202
4700 10 1.23737 1 14 2.23e-05 0.085425
4710 10 1.23737 1.1 21.9 3.28e-05 0.085753
4720 10 1.23737 1.1 24.1 3.33e-05 0.086086
4730 10 1.23737 1.1 17.8 2.23e-05 0.086309
4740 10 1.24285 1.1 16.9 2.98e-05 0.086607
4750 10 1.24285 1.1 22.6 3.99e-05 0.087006
4760 10 1.24285 1.1 28.5 6.05e-05 0.087611
4770 10 1.24285 1.1 19.7 0.0001226 0.088837
4780 10 1.24285 1.2 17.8 3.88e-05 0.089225
